SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, GS, 10-Dec-2025,107.0,107.0,107.0,105.0,105.5,105.5,105.71,35230,37.24,17, 30030, 85.24
20MICRONS, EQ, 10-Dec-2025,189.11,189.0,191.85,188.0,189.45,188.36,189.73,33413,63.4,1626, 13125, 39.28
21STCENMGM, EQ, 10-Dec-2025,42.79,43.62,43.64,42.8,43.64,43.61,43.62,1413,0.62,39, 1366, 96.67
360ONE, EQ, 10-Dec-2025,1117.9,1115.0,1119.4,1092.6,1101.0,1102.8,1104.21,413626,4567.32,41931, 247669, 59.88
3IINFOLTD, EQ, 10-Dec-2025,15.96,16.14,16.48,16.1,16.29,16.24,16.29,366659,59.74,1906, 217220, 59.24
3MINDIA, EQ, 10-Dec-2025,34495.0,34495.0,35000.0,34215.0,34505.0,34585.0,34543.1,2616,903.65,1736, 1007, 38.49
3PLAND, EQ, 10-Dec-2025,37.66,38.75,39.25,37.66,38.5,38.48,39.06,4725,1.85,53, 4617, 97.71
563GS2026, GS, 10-Dec-2025,101.25,100.56,100.56,100.56,100.56,100.56,100.56,3,0.0,1, 3, 100.00
574GS2026, GS, 10-Dec-2025,100.0,99.53,99.53,99.5,99.5,99.5,99.51,500,0.5,2, 500, 100.00
577GS2030, GS, 10-Dec-2025,98.15,98.15,98.15,98.15,98.15,98.15,98.15,100,0.1,1, 100, 100.00
591GS2028, GS, 10-Dec-2025,101.96,101.95,101.95,101.95,101.95,101.95,101.95,600,0.61,2, 600, 100.00
5PAISA, EQ, 10-Dec-2025,304.5,304.0,310.15,298.95,302.0,303.15,305.06,48923,149.24,2551, 12413, 25.37
633GS2035, GS, 10-Dec-2025,99.22,99.22,101.5,99.22,101.5,101.5,99.23,201,0.2,3, 201, 100.00
63MOONS, EQ, 10-Dec-2025,772.8,780.0,798.3,762.0,763.7,765.35,779.69,148522,1158.01,9936, 47614, 32.06
648GS2035, GS, 10-Dec-2025,99.82,99.7,100.5,99.7,100.0,100.0,99.84,409,0.41,5, 409, 100.00
654GS2032, GS, 10-Dec-2025,102.26,102.0,102.0,101.5,101.5,101.5,101.98,10390,10.6,2, 10390, 100.00
667GS2050, GS, 10-Dec-2025,96.07,96.12,96.12,92.9,92.9,92.92,92.97,101678,94.53,19, 101678, 100.00
676GS2061, GS, 10-Dec-2025,94.89,94.8,94.8,94.0,94.0,94.0,94.23,10734,10.11,9, 10534, 98.14
679GS2031, GS, 10-Dec-2025,103.55,103.95,103.95,103.0,103.0,103.0,103.48,400,0.41,3, 400, 100.00
68GS2060, GS, 10-Dec-2025,96.45,96.45,96.45,96.45,96.45,96.45,96.45,10,0.01,9, 10, 100.00
690GS2065, GS, 10-Dec-2025,94.45,94.5,94.7,94.11,94.11,94.37,94.38,127367,120.2,77, 108867, 85.48
695GS2061, GS, 10-Dec-2025,97.8,98.89,98.89,98.89,98.89,98.89,98.89,30,0.03,2, 30, 100.00
698GR2054, GS, 10-Dec-2025,97.0,96.15,96.16,96.15,96.16,96.16,96.16,200,0.19,2, 200, 100.00
699GS2026, GS, 10-Dec-2025,101.1,101.1,101.16,101.1,101.16,101.16,101.13,20,0.02,2, 10, 50.00
699GS2051, GS, 10-Dec-2025,100.03,100.03,101.0,100.0,100.0,100.0,100.02,253,0.25,4, 253, 100.00
702GS2027, GS, 10-Dec-2025,101.86,101.93,102.5,101.93,102.5,102.5,101.93,1149,1.17,5, 1148, 99.91
702GS2031, GS, 10-Dec-2025,105.9,105.0,105.0,105.0,105.0,105.0,105.0,100,0.11,1, 100, 100.00
